hex,alpha entity
0x2277,&gl;
0x2a92,&glE;
0x2aa5,&gla;
0x2aa4,&glj;
0x2269,&gnE;
0x2a8a,&gnap;
0x2a8a,&gnapprox;
0x2a88,&gne;
0x2a88,&gneq;
0x2269,&gneqq;
0x22e7,&gnsim;
0x1d558,&gopf;
0x0060,&grave;
0x210a,&gscr;
0x2273,&gsim;
0x2a8e,&gsime;
0x2a90,&gsiml;
0x003e,&gt;
0x2aa7,&gtcc;
0x2a7a,&gtcir;
0x22d7,&gtdot;
0x2995,&gtlPar;
0x2a7c,&gtquest;
0x2a86,&gtrapprox;
0x2978,&gtrarr;
0x22d7,&gtrdot;
0x22db,&gtreqless;
0x2a8c,&gtreqqless;
0x2277,&gtrless;
0x2273,&gtrsim;
0x2269,&gvertneqq;
0x2269,&gvnE;
0x21d4,&hArr;
0x200a,&hairsp;
0x00bd,&half;
0x210b,&hamilt;
0x044a,&hardcy;
0x2194,&harr;
0x2948,&harrcir;
0x21ad,&harrw;
0x210f,&hbar;
0x0125,&hcirc;
0x2665,&hearts;
0x2665,&heartsuit;
0x2026,&hellip;
0x22b9,&hercon;
0x1d525,&hfr;
0x2925,&hksearow;
0x2926,&hkswarow;
0x21ff,&hoarr;
0x223b,&homtht;
0x21a9,&hookleftarrow;
0x21aa,&hookrightarrow;
0x1d559,&hopf;
0x2015,&horbar;
0x1d4bd,&hscr;
0x210f,&hslash;
0x0127,&hstrok;
0x2043,&hybull;
0x2010,&hyphen;
0x00ed,&iacute;
0x2063,&ic;
0x00ee,&icirc;
0x0438,&icy;
0x0435,&iecy;
0x00a1,&iexcl;
0x21d4,&iff;
0x1d526,&ifr;
0x00ec,&igrave;
0x2148,&ii;
0x2a0c,&iiiint;
0x222d,&iiint;
0x29dc,&iinfin;
0x2129,&iiota;
0x0133,&ijlig;
0x012b,&imacr;
0x2111,&image;
0x2110,&imagline;
0x2111,&imagpart;
0x0131,&imath;
0x22b7,&imof;
0x01b5,&imped;
0x2208,&in;
0x2105,&incare;
0x221e,&infin;
0x29dd,&infintie;
0x0131,&inodot;
0x222b,&int;
0x22ba,&intcal;
0x2124,&integers;
0x22ba,&intercal;
0x2a17,&intlarhk;
0x2a3c,&intprod;
0x0451,&iocy;
0x012f,&iogon;
0x1d55a,&iopf;
0x03b9,&iota;
0x2a3c,&iprod;
0x00bf,&iquest;
0x1d4be,&iscr;
0x2208,&isin;
0x22f9,&isinE;
0x22f5,&isindot;
0x22f4,&isins;
0x22f3,&isinsv;
0x2208,&isinv;
0x2062,&it;
0x0129,&itilde;
0x0456,&iukcy;
0x00ef,&iuml;
0x0135,&jcirc;
0x0439,&jcy;
0x1d527,&jfr;
0x0237,&jmath;
0x1d55b,&jopf;
0x1d4bf,&jscr;
0x0458,&jsercy;
0x0454,&jukcy;
0x03ba,&kappa;
0x03f0,&kappav;
0x0137,&kcedil;
0x043a,&kcy;
0x1d528,&kfr;
0x0138,&kgreen;
0x0445,&khcy;
0x045c,&kjcy;
0x1d55c,&kopf;
0x1d4c0,&kscr;
0x21da,&lAarr;
0x21d0,&lArr;
0x291b,&lAtail;
0x290e,&lBarr;
0x2266,&lE;
0x2a8b,&lEg;
0x2962,&lHar;
0x013a,&lacute;
0x29b4,&laemptyv;
0x2112,&lagran;
0x03bb,&lambda;
0x2329,&lang;
0x27e8,&lang;
0x2991,&langd;
0x27e8,&langle;
0x2a85,&lap;
0x00ab,&laquo;
0x21c7,&larr2;
0x2190,&larr;
0x21e4,&larrb;
0x291f,&larrbfs;
0x291d,&larrfs;
0x21a9,&larrhk;
0x21ab,&larrlp;
0x2939,&larrpl;
0x2973,&larrsim;
0x21a2,&larrtl;
0x2aab,&lat;
0x2919,&latail;
0x2aad,&late;
0x2aad,&lates;
0x290c,&lbarr;
0x2772,&lbbrk;
0x007b,&lbrace;
0x005b,&lbrack;
0x298b,&lbrke;
0x298f,&lbrksld;
0x298d,&lbrkslu;
0x013e,&lcaron;
0x013c,&lcedil;
0x2308,&lceil;
0x007b,&lcub;
0x043b,&lcy;
0x2936,&ldca;
0x201c,&ldquo;
0x201e,&ldquor;
0x2967,&ldrdhar;
0x294b,&ldrushar;
0x21b2,&ldsh;
0x2264,&le;
0x2190,&leftarrow;
0x21a2,&leftarrowtail;
0x21bd,&leftharpoondown;
0x21bc,&leftharpoonup;
0x21c7,&leftleftarrows;
0x2194,&leftrightarrow;
0x21c6,&leftrightarrows;
0x21cb,&leftrightharpoons;
0x21ad,&leftrightsquigarrow;
0x22cb,&leftthreetimes;
0x22da,&leg;
0x2264,&leq;
0x2266,&leqq;
0x2a7d,&leqslant;
0x2a7d,&les;
0x2aa8,&lescc;
0x2a7f,&lesdot;
0x2a81,&lesdoto;
0x2a83,&lesdotor;
0x22da,&lesg;
0x2a93,&lesges;
0x2a85,&lessapprox;
0x22d6,&lessdot;
0x22da,&lesseqgtr;
0x2a8b,&lesseqqgtr;
0x2276,&lessgtr;
0x2272,&lesssim;
0x297c,&lfisht;
0x230a,&lfloor;
0x1d529,&lfr;
0x2276,&lg;
0x2a91,&lgE;
0x21bd,&lhard;
0x21bc,&lharu;
0x296a,&lharul;
0x2584,&lhblk;
0x0459,&ljcy;
0x226a,&ll;
0x21c7,&llarr;
0x231e,&llcorner;
0x296b,&llhard;
0x25fa,&lltri;
0x0140,&lmidot;
0x23b0,&lmoust;
0x23b0,&lmoustache;
0x2268,&lnE;
0x2a89,&lnap;
0x2a89,&lnapprox;
0x2a87,&lne;
0x2a87,&lneq;
0x2268,&lneqq;
0x22e6,&lnsim;
0x27ec,&loang;
0x21fd,&loarr;
0x27e6,&lobrk;
0x27f5,&longleftarrow;
0x27f7,&longleftrightarrow;
0x27fc,&longmapsto;
0x27f6,&longrightarrow;
0x21ab,&looparrowleft;
0x21ac,&looparrowright;
0x2985,&lopar;
0x1d55d,&lopf;
0x2a2d,&loplus;
0x2a34,&lotimes;
0x2217,&lowast;
0x005f,&lowbar;
0x25ca,&loz;
0x25ca,&lozenge;
0x29eb,&lozf;
0x0028,&lpar;
0x2993,&lparlt;
0x21c6,&lrarr2;
0x21c6,&lrarr;
0x231f,&lrcorner;
0x21cb,&lrhar2;
0x21cb,&lrhar;
0x296d,&lrhard;
0x200e,&lrm;
0x22bf,&lrtri;
0x2039,&lsaquo;
0x1d4c1,&lscr;
0x21b0,&lsh;
0x2272,&lsim;
0x2a8d,&lsime;
0x2a8f,&lsimg;
0x005b,&lsqb;
0x2018,&lsquo;
0x201a,&lsquor;
0x0142,&lstrok;
0x003c,&lt;
0x2aa6,&ltcc;
0x2a79,&ltcir;
0x22d6,&ltdot;
0x22cb,&lthree;
0x22c9,&ltimes;
0x2976,&ltlarr;
0x2a7b,&ltquest;
0x2996,&ltrPar;
0x25c3,&ltri;
0x22b4,&ltrie;
0x25c2,&ltrif;
0x294a,&lurdshar;
0x2966,&luruhar;
0x2268,&lvertneqq;
0x2268,&lvnE;
0x223a,&mDDot;
0x00af,&macr;
0x2642,&male;
0x2720,&malt;
0x2720,&maltese;
0x21a6,&map;
0x21a6,&mapsto;
0x21a7,&mapstodown;
0x21a4,&mapstoleft;
0x21a5,&mapstoup;
0x25ae,&marker;
0x2a29,&mcomma;
0x043c,&mcy;
0x2014,&mdash;
0x2221,&measuredangle;
0x1d52a,&mfr;
0x2127,&mho;
0x00b5,&micro;
0x2223,&mid;
0x002a,&midast;
0x2af0,&midcir;
0x00b7,&middot;
0x2212,&minus;
0x229f,&minusb;
0x2238,&minusd;
0x2a2a,&minusdu;
0x2adb,&mlcp;
0x2026,&mldr;
0x2213,&mnplus;
0x22a7,&models;
0x1d55e,&mopf;
0x2213,&mp;
0x1d4c2,&mscr;
0x223e,&mstpos;
0x03bc,&mu;
0x22b8,&multimap;
0x22b8,&mumap;
0x22d9,&nGg;
0x226b,&nGt;
0x226b,&nGtv;
0x21cd,&nLeftarrow;
0x21ce,&nLeftrightarrow;
0x22d8,&nLl;
0x226a,&nLt;
0x226a,&nLtv;
0x21cf,&nRightarrow;
0x22af,&nVDash;
0x22ae,&nVdash;
0x2207,&nabla;
0x0144,&nacute;
0x2220,&nang;
0x2249,&nap;
0x2a70,&napE;
0x224b,&napid;
0x0149,&napos;
0x2249,&napprox;
0x266e,&natur;
0x266e,&natural;
0x2115,&naturals;
0x00a0,&nbsp;
0x224e,&nbump;
0x224f,&nbumpe;
0x2a43,&ncap;
0x0148,&ncaron;
0x0146,&ncedil;
0x2247,&ncong;
0x2a6d,&ncongdot;
0x2a42,&ncup;
0x043d,&ncy;
0x2013,&ndash;
0x2260,&ne;
0x2260,&ne;
0x21d7,&neArr;
0x2924,&nearhk;
0x2197,&nearr;
0x2197,&nearrow;
0x2250,&nedot;
0x2262,&nequiv;
0x2928,&nesear;
0x2242,&nesim;
0x2204,&nexist;
0x2204,&nexists;
0x1d52b,&nfr;
0x2267,&ngE;
0x2271,&nge;
0x2271,&ngeq;
0x2267,&ngeqq;
0x2a7e,&ngeqslant;
0x2a7e,&nges;
0x2275,&ngsim;
0x226f,&ngt;
0x226f,&ngtr;
0x21ce,&nhArr;
0x21ae,&nharr;
0x2af2,&nhpar;
0x220b,&ni;
0x22fc,&nis;
0x22fa,&nisd;
0x220b,&niv;
0x045a,&njcy;
0x21cd,&nlArr;
0x2266,&nlE;
0x219a,&nlarr;
0x2025,&nldr;
0x2270,&nle;
0x219a,&nleftarrow;
0x21ae,&nleftrightarrow;
0x2270,&nleq;
0x2266,&nleqq;
0x2a7d,&nleqslant;
0x2a7d,&nles;
0x226e,&nless;
0x2274,&nlsim;
0x226e,&nlt;
0x22ea,&nltri;
0x22ec,&nltrie;
0x2224,&nmid;
0x1d55f,&nopf;
0x00ac,&not;
0x2209,&notin;
0x22f9,&notinE;
0x22f5,&notindot;
0x2209,&notinva;
0x22f7,&notinvb;
0x22f6,&notinvc;
0x220c,&notni;
0x220c,&notniva;
0x22fe,&notnivb;
0x22fd,&notnivc;
0x2226,&npar;
0x2226,&nparallel;
0x2afd,&nparsl;
0x2202,&npart;
0x2a14,&npolint;
0x2280,&npr;
0x22e0,&nprcue;
0x2aaf,&npre;
0x2280,&nprec;
0x2aaf,&npreceq;
0x21cf,&nrArr;
0x219b,&nrarr;
0x2933,&nrarrc;
0x219d,&nrarrw;
0x219b,&nrightarrow;
0x22eb,&nrtri;
0x22ed,&nrtrie;
0x2281,&nsc;
0x22e1,&nsccue;
0x2ab0,&nsce;
0x1d4c3,&nscr;
0x2224,&nshortmid;
0x2226,&nshortparallel;
0x2241,&nsim;
0x2244,&nsime;
0x2244,&nsimeq;
0x2224,&nsmid;
0x2226,&nspar;
0x22e2,&nsqsube;
0x22e3,&nsqsupe;
0x2284,&nsub;
0x2ac5,&nsubE;
0x2288,&nsube;
0x2282,&nsubset;
0x2288,&nsubseteq;
0x2ac5,&nsubseteqq;
0x2281,&nsucc;
0x2ab0,&nsucceq;
0x2285,&nsup;
0x2ac6,&nsupE;
0x2289,&nsupe;
0x2283,&nsupset;
0x2289,&nsupseteq;
0x2ac6,&nsupseteqq;
0x2279,&ntgl;
0x00f1,&ntilde;
0x2278,&ntlg;
0x22ea,&ntriangleleft;
0x22ec,&ntrianglelefteq;
0x22eb,&ntriangleright;
0x22ed,&ntrianglerighteq;
0x03bd,&nu;
0x0023,&num;
0x2116,&numero;
0x2007,&numsp;
0x22ad,&nvDash;
0x2904,&nvHarr;
0x224d,&nvap;
0x22ac,&nvdash;
0x2265,&nvge;
0x003e,&nvgt;
0x29de,&nvinfin;
0x2902,&nvlArr;
0x2264,&nvle;
0x003c,&nvlt;
0x22b4,&nvltrie;
0x2903,&nvrArr;
0x22b5,&nvrtrie;
0x223c,&nvsim;
0x21d6,&nwArr;
0x2923,&nwarhk;
0x2196,&nwarr;
0x2196,&nwarrow;
0x2927,&nwnear;
0x24c8,&oS;
0x00f3,&oacute;
0x229b,&oast;
0x229a,&ocir;
0x00f4,&ocirc;
0x043e,&ocy;
0x229d,&odash;
0x0151,&odblac;
0x2a38,&odiv;
0x2299,&odot;
0x29bc,&odsold;
0x0153,&oelig;
0x29bf,&ofcir;
0x1d52c,&ofr;
0x02db,&ogon;
0x00f2,&ograve;
0x29c1,&ogt;
0x29b5,&ohbar;
0x03a9,&ohm;
0x222e,&oint;
0x21ba,&olarr;
0x29be,&olcir;
0x29bb,&olcross;
0x203e,&oline;
0x29c0,&olt;
0x014d,&omacr;
0x03c9,&omega;
0x03bf,&omicron;
0x29b6,&omid;
0x2296,&ominus;
0x1d560,&oopf;
0x29b7,&opar;
0x29b9,&operp;
0x2295,&oplus;
0x2228,&or;
0x21bb,&orarr;
0x2a5d,&ord;
0x2134,&order;
0x2134,&orderof;
0x00aa,&ordf;
0x00ba,&ordm;
0x22b6,&origof;
0x2a56,&oror;
0x2a57,&orslope;
0x2a5b,&orv;
0x2134,&oscr;
0x00f8,&oslash;
0x2298,&osol;
0x00f5,&otilde;
0x2297,&otimes;
0x2a36,&otimesas;
0x00f6,&ouml;
0x233d,&ovbar;
0x2225,&par;
0x00b6,&para;
0x2225,&parallel;
0x2af3,&parsim;
0x2afd,&parsl;
0x2202,&part;
0x043f,&pcy;
0x0025,&percnt;
0x002e,&period;
0x2030,&permil;
0x22a5,&perp;
0x2031,&pertenk;
0x1d52d,&pfr;
0x03c6,&phi;
0x03d5,&phiv;
0x2133,&phmmat;
0x260e,&phone;
0x03c0,&pi;
0x22d4,&pitchfork;
0x03d6,&piv;
0x210e,&planckh;
0x210f,&plankv;
0x002b,&plus;
0x2a23,&plusacir;
0x229e,&plusb;
0x2a22,&pluscir;
0x2214,&plusdo;
0x2a25,&plusdu;
0x2a72,&pluse;
0x00b1,&plusmn;
0x2a26,&plussim;
0x2a27,&plustwo;
0x00b1,&pm;
0x2a15,&pointint;
0x1d561,&popf;
0x00a3,&pound;
0x227a,&pr;
0x2ab3,&prE;
0x2ab7,&prap;
0x227c,&prcue;
0x2aaf,&pre;
0x227a,&prec;
0x2ab7,&precapprox;
0x227c,&preccurlyeq;
0x2aaf,&preceq;
0x2ab9,&precnapprox;
0x2ab5,&precneqq;
0x22e8,&precnsim;
0x227e,&precsim;
0x2032,&prime;
0x2119,&primes;
0x2ab5,&prnE;
0x2ab9,&prnap;
0x22e8,&prnsim;
0x220f,&prod;
0x232e,&profalar;
0x2312,&profline;
0x2313,&profsurf;
0x221d,&prop;
0x221d,&propto;
0x227e,&prsim;
0x22b0,&prurel;
0x1d4c5,&pscr;
0x03c8,&psi;
0x2008,&puncsp;
0x1d52e,&qfr;
0x2a0c,&qint;
0x1d562,&qopf;
0x2057,&qprime;
0x1d4c6,&qscr;
0x210d,&quaternions;
0x2a16,&quatint;
0x003f,&quest;
0x225f,&questeq;
0x0022,&quot;
0x21db,&rAarr;
0x21d2,&rArr;
0x291c,&rAtail;
0x290f,&rBarr;
0x2964,&rHar;
0x223d,&race;
0x0155,&racute;
0x221a,&radic;
0x29b3,&raemptyv;
0x232a,&rang;
0x27e9,&rang;
0x2992,&rangd;
0x29a5,&range;
0x27e9,&rangle;
0x00bb,&raquo;
0x21c9,&rarr2;
0x2192,&rarr;
0x2975,&rarrap;
0x21e5,&rarrb;
0x2920,&rarrbfs;
0x2933,&rarrc;
0x291e,&rarrfs;
0x21aa,&rarrhk;
0x21ac,&rarrlp;
0x2945,&rarrpl;
0x2974,&rarrsim;
0x21a3,&rarrtl;
0x219d,&rarrw;
0x291a,&ratail;
0x2236,&ratio;
0x211a,&rationals;
0x290d,&rbarr;
0x2773,&rbbrk;
0x007d,&rbrace;
0x005d,&rbrack;
0x298c,&rbrke;
0x298e,&rbrksld;
0x2990,&rbrkslu;
0x0159,&rcaron;
0x0157,&rcedil;
0x2309,&rceil;
0x007d,&rcub;
0x0440,&rcy;
0x2937,&rdca;
0x2969,&rdldhar;
0x201d,&rdquo;
0x201d,&rdquor;
0x21b3,&rdsh;
0x211c,&real;
0x211b,&realine;
0x211c,&realpart;
0x211d,&reals;
0x25ad,&rect;
0x00ae,&reg;
0x297d,&rfisht;
0x230b,&rfloor;
0x1d52f,&rfr;
0x21c1,&rhard;
0x21c0,&rharu;
0x296c,&rharul;
0x03c1,&rho;
0x03f1,&rhov;
0x2192,&rightarrow;
0x21a3,&rightarrowtail;
0x21c1,&rightharpoondown;
0x21c0,&rightharpoonup;
0x21c4,&rightleftarrows;
0x21cc,&rightleftharpoons;
0x21c9,&rightrightarrows;
0x219d,&rightsquigarrow;
0x22cc,&rightthreetimes;
0x02da,&ring;
0x2253,&risingdotseq;
0x21c4,&rlarr2;
0x21c4,&rlarr;
0x21cc,&rlhar2;
0x21cc,&rlhar;
0x200f,&rlm;
0x23b1,&rmoust;
0x23b1,&rmoustache;
0x2aee,&rnmid;
0x27ed,&roang;
0x21fe,&roarr;
0x27e7,&robrk;
0x2986,&ropar;
0x1d563,&ropf;
0x2a2e,&roplus;
0x2a35,&rotimes;
0x0029,&rpar;
0x2994,&rpargt;
0x2a12,&rppolint;
0x21c9,&rrarr;
0x203a,&rsaquo;
0x1d4c7,&rscr;
0x21b1,&rsh;
0x005d,&rsqb;
0x2019,&rsquo;
0x2019,&rsquor;
0x22cc,&rthree;
0x22ca,&rtimes;
0x25b9,&rtri;
0x22b5,&rtrie;
0x25b8,&rtrif;
0x29ce,&rtriltri;
0x2968,&ruluhar;
0x211e,&rx;
0x015b,&sacute;
0x201a,&sbquo;
0x227b,&sc;
0x2ab4,&scE;
0x2ab8,&scap;
0x0161,&scaron;
0x227d,&sccue;
0x2ab0,&sce;
0x015f,&scedil;
0x015d,&scirc;
0x2ab6,&scnE;
0x2aba,&scnap;
0x22e9,&scnsim;
0x2a13,&scpolint;
0x227f,&scsim;
0x0441,&scy;
0x22c5,&sdot;
0x22a1,&sdotb;
0x2a66,&sdote;
0x21d8,&seArr;
0x2925,&searhk;
0x2198,&searr;
0x2198,&searrow;
0x00a7,&sect;
0x003b,&semi;
0x2929,&seswar;
0x2216,&setminus;
0x2216,&setmn;
0x2736,&sext;
0x1d530,&sfr;
0x2322,&sfrown;
0x266f,&sharp;
0x0449,&shchcy;
0x0448,&shcy;
0x2223,&shortmid;
0x2225,&shortparallel;
0x00ad,&shy;
0x03c3,&sigma;
0x03c2,&sigmaf;
0x03c2,&sigmav;
0x223c,&sim;
0x2a6a,&simdot;
0x2243,&sime;
0x2243,&simeq;
0x2a9e,&simg;
0x2aa0,&simgE;
0x2a9d,&siml;
0x2a9f,&simlE;
0x2246,&simne;
0x2a24,&simplus;
0x2972,&simrarr;
0x2190,&slarr;
0x2216,&smallsetminus;
0x2a33,&smashp;
0x29e4,&smeparsl;
0x2223,&smid;
0x2323,&smile;
0x2aaa,&smt;
0x2aac,&smte;
0x2aac,&smtes;
0x044c,&softcy;
0x002f,&sol;
0x29c4,&solb;
0x233f,&solbar;
0x1d564,&sopf;
0x2660,&spades;
0x2660,&spadesuit;
0x2225,&spar;
0x2293,&sqcap;
0x2293,&sqcaps;
0x2294,&sqcup;
0x2294,&sqcups;
0x228f,&sqsub;
0x2291,&sqsube;
0x228f,&sqsubset;
0x2291,&sqsubseteq;
0x2290,&sqsup;
0x2292,&sqsupe;
0x2290,&sqsupset;
0x2292,&sqsupseteq;
0x25a1,&squ;
0x25a1,&square;
0x25aa,&squarf;
0x25aa,&squf;
0x2192,&srarr;
0x1d4c8,&sscr;
0x2216,&ssetmn;
0x2323,&ssmile;
0x22c6,&sstarf;
0x2606,&star;
0x2605,&starf;
0x03f5,&straightepsilon;
0x03d5,&straightphi;
0x00af,&strns;
0x2282,&sub;
0x2ac5,&subE;
0x2abd,&subdot;
0x2286,&sube;
0x2ac3,&subedot;
0x2ac1,&submult;
0x2acb,&subnE;
0x228a,&subne;
0x2abf,&subplus;
0x2979,&subrarr;
0x2282,&subset;
0x2286,&subseteq;
0x2ac5,&subseteqq;
0x228a,&subsetneq;
0x2acb,&subsetneqq;
0x2ac7,&subsim;
0x2ad5,&subsub;
0x2ad3,&subsup;
0x227b,&succ;
0x2ab8,&succapprox;
0x227d,&succcurlyeq;
0x2ab0,&succeq;
0x2aba,&succnapprox;
0x2ab6,&succneqq;
0x22e9,&succnsim;
0x227f,&succsim;
0x2211,&sum;
0x266a,&sung;
0x00b9,&sup1;
0x00b2,&sup2;
0x00b3,&sup3;
0x2283,&sup;
0x2ac6,&supE;
0x2abe,&supdot;
0x2ad8,&supdsub;
0x2287,&supe;
0x2ac4,&supedot;
0x27c9,&suphsol;
0x2ad7,&suphsub;
0x297b,&suplarr;
0x2ac2,&supmult;
0x2acc,&supnE;
0x228b,&supne;
0x2ac0,&supplus;
0x2283,&supset;
0x2287,&supseteq;
0x2ac6,&supseteqq;
0x228b,&supsetneq;
0x2acc,&supsetneqq;
0x2ac8,&supsim;
0x2ad4,&supsub;
0x2ad6,&supsup;
0x21d9,&swArr;
0x2926,&swarhk;
0x2199,&swarr;
0x2199,&swarrow;
0x292a,&swnwar;
0x00df,&szlig;
0x2316,&target;
0x03c4,&tau;
0x23b4,&tbrk;
0x0165,&tcaron;
0x0163,&tcedil;
0x0442,&tcy;
0x20db,&tdot;
0x2315,&telrec;
0x1d531,&tfr;
0x2234,&there4;
0x2234,&therefore;
0x03b8,&theta;
0x03d1,&thetasym;
0x03d1,&thetav;
0x2248,&thickapprox;
0x223c,&thicksim;
0x2009,&thinsp;
0x2248,&thkap;
0x223c,&thksim;
0x00fe,&thorn;
0x02dc,&tilde;
0x00d7,&times;
0x22a0,&timesb;
0x2a31,&timesbar;
0x2a30,&timesd;
0x222d,&tint;
0x2928,&toea;
0x22a4,&top;
0x2336,&topbot;
0x2af1,&topcir;
0x1d565,&topf;
0x2ada,&topfork;
0x2929,&tosa;
0x2034,&tprime;
0x2122,&trade;
0x25b5,&triangle;
0x25bf,&triangledown;
0x25c3,&triangleleft;
0x22b4,&trianglelefteq;
0x225c,&triangleq;
0x25b9,&triangleright;
0x22b5,&trianglerighteq;
0x25ec,&tridot;
0x225c,&trie;
0x2a3a,&triminus;
0x2a39,&triplus;
0x29cd,&trisb;
0x2a3b,&tritime;
0x23e2,&trpezium;
0x1d4c9,&tscr;
0x0446,&tscy;
0x045b,&tshcy;
0x0167,&tstrok;
0x226c,&twixt;
0x219e,&twoheadleftarrow;
0x21a0,&twoheadrightarrow;
0x21d1,&uArr;
0x2963,&uHar;
0x00fa,&uacute;
0x21c8,&uarr2;
0x2191,&uarr;
0x045e,&ubrcy;
0x016d,&ubreve;
0x00fb,&ucirc;
0x0443,&ucy;
0x21c5,&udarr;
0x0171,&udblac;
0x296e,&udhar;
0x297e,&ufisht;
0x1d532,&ufr;
0x00f9,&ugrave;
0x21bf,&uharl;
0x21be,&uharr;
0x2580,&uhblk;
0x231c,&ulcorn;
0x231c,&ulcorner;
0x230f,&ulcrop;
0x25f8,&ultri;
0x016b,&umacr;
0x00a8,&uml;
0x0173,&uogon;
0x1d566,&uopf;
0x2191,&uparrow;
0x2195,&updownarrow;
0x21bf,&upharpoonleft;
0x21be,&upharpoonright;
0x228e,&uplus;
0x03c5,&upsi;
0x03d2,&upsih;
0x03c5,&upsilon;
0x21c8,&upuparrows;
0x231d,&urcorn;
0x231d,&urcorner;
0x230e,&urcrop;
0x016f,&uring;
0x25f9,&urtri;
0x1d4ca,&uscr;
0x22f0,&utdot;
0x0169,&utilde;
0x25b5,&utri;
0x25b4,&utrif;
0x21c8,&uuarr;
0x00fc,&uuml;
0x29a7,&uwangle;
0x21d5,&vArr;
0x2ae8,&vBar;
0x2ae9,&vBarv;
0x22a8,&vDash;
0x299c,&vangrt;
0x03f5,&varepsilon;
0x03f0,&varkappa;
0x2205,&varnothing;
0x03d5,&varphi;
0x03d6,&varpi;
0x221d,&varpropto;
0x2195,&varr;
0x03f1,&varrho;
0x03c2,&varsigma;
0x228a,&varsubsetneq;
0x2acb,&varsubsetneqq;
0x228b,&varsupsetneq;
0x2acc,&varsupsetneqq;
0x03d1,&vartheta;
0x22b2,&vartriangleleft;
0x22b3,&vartriangleright;
0x0432,&vcy;
0x22a2,&vdash;
0x2228,&vee;
0x22bb,&veebar;
0x225a,&veeeq;
0x22ee,&vellip;
0x007c,&verbar;
0x007c,&vert;
0x1d533,&vfr;
0x22b2,&vltri;
0x2282,&vnsub;
0x2283,&vnsup;
0x1d567,&vopf;
0x221d,&vprop;
0x22b3,&vrtri;
0x1d4cb,&vscr;
0x2acb,&vsubnE;
0x228a,&vsubne;
0x2acc,&vsupnE;
0x228b,&vsupne;
0x299a,&vzigzag;
0x0175,&wcirc;
0x2a5f,&wedbar;
0x2227,&wedge;
0x2259,&wedgeq;
0x2118,&weierp;
0x1d534,&wfr;
0x1d568,&wopf;
0x2118,&wp;
0x2240,&wr;
0x2240,&wreath;
0x1d4cc,&wscr;
0x22c2,&xcap;
0x25ef,&xcirc;
0x22c3,&xcup;
0x25bd,&xdtri;
0x1d535,&xfr;
0x27fa,&xhArr;
0x27f7,&xharr;
0x03be,&xi;
0x27f8,&xlArr;
0x27f5,&xlarr;
0x27fc,&xmap;
0x22fb,&xnis;
0x2a00,&xodot;
0x1d569,&xopf;
0x2a01,&xoplus;
0x2a02,&xotime;
0x27f9,&xrArr;
0x27f6,&xrarr;
0x1d4cd,&xscr;
0x2a06,&xsqcup;
0x2a04,&xuplus;
0x25b3,&xutri;
0x22c1,&xvee;
0x22c0,&xwedge;
0x00fd,&yacute;
0x044f,&yacy;
0x0177,&ycirc;
0x044b,&ycy;
0x00a5,&yen;
0x1d536,&yfr;
0x0457,&yicy;
0x1d56a,&yopf;
0x1d4ce,&yscr;
0x044e,&yucy;
0x00ff,&yuml;
0x017a,&zacute;
0x017e,&zcaron;
0x0437,&zcy;
0x017c,&zdot;
0x2128,&zeetrf;
0x03b6,&zeta;
0x1d537,&zfr;
0x0436,&zhcy;
0x21dd,&zigrarr;
0x1d56b,&zopf;
0x1d4cf,&zscr;
0x200d,&zwj;
0x200c,&zwnj;
0x0027,'
0x0040,@
0x005e,^
0x0060,`
0x007e,~
