hex,alpha entity
0x013b,&Lcedil;
0x041b,&Lcy;
0x27e8,&LeftAngleBracket;
0x2190,&LeftArrow;
0x21e4,&LeftArrowBar;
0x21c6,&LeftArrowRightArrow;
0x2308,&LeftCeiling;
0x27e6,&LeftDoubleBracket;
0x2961,&LeftDownTeeVector;
0x21c3,&LeftDownVector;
0x2959,&LeftDownVectorBar;
0x230a,&LeftFloor;
0x2194,&LeftRightArrow;
0x294e,&LeftRightVector;
0x22a3,&LeftTee;
0x21a4,&LeftTeeArrow;
0x295a,&LeftTeeVector;
0x22b2,&LeftTriangle;
0x29cf,&LeftTriangleBar;
0x22b4,&LeftTriangleEqual;
0x2951,&LeftUpDownVector;
0x2960,&LeftUpTeeVector;
0x21bf,&LeftUpVector;
0x2958,&LeftUpVectorBar;
0x21bc,&LeftVector;
0x2952,&LeftVectorBar;
0x21d0,&Leftarrow;
0x21d4,&Leftrightarrow;
0x22da,&LessEqualGreater;
0x2266,&LessFullEqual;
0x2276,&LessGreater;
0x2aa1,&LessLess;
0x2a7d,&LessSlantEqual;
0x2272,&LessTilde;
0x1d50f,&Lfr;
0x22d8,&Ll;
0x21da,&Lleftarrow;
0x013f,&Lmidot;
0x27f5,&LongLeftArrow;
0x27f7,&LongLeftRightArrow;
0x27f6,&LongRightArrow;
0x27f8,&Longleftarrow;
0x27fa,&Longleftrightarrow;
0x27f9,&Longrightarrow;
0x1d543,&Lopf;
0x2199,&LowerLeftArrow;
0x2198,&LowerRightArrow;
0x2112,&Lscr;
0x21b0,&Lsh;
0x0141,&Lstrok;
0x226a,&Lt;
0x2905,&Map;
0x041c,&Mcy;
0x205f,&MediumSpace;
0x2133,&Mellintrf;
0x1d510,&Mfr;
0x2213,&MinusPlus;
0x1d544,&Mopf;
0x2133,&Mscr;
0x039c,&Mu;
0x040a,&NJcy;
0x0143,&Nacute;
0x0147,&Ncaron;
0x0145,&Ncedil;
0x041d,&Ncy;
0x200b,&NegativeMediumSpace;
0x200b,&NegativeThickSpace;
0x200b,&NegativeThinSpace;
0x200b,&NegativeVeryThinSpace;
0x226b,&NestedGreaterGreater;
0x226a,&NestedLessLess;
0x000a,&NewLine;
0x1d511,&Nfr;
0x2060,&NoBreak;
0x00a0,&NonBreakingSpace;
0x2115,&Nopf;
0x2aec,&Not;
0x2262,&NotCongruent;
0x226d,&NotCupCap;
0x2226,&NotDoubleVerticalBar;
0x2209,&NotElement;
0x2260,&NotEqual;
0x2242,&NotEqualTilde;
0x2204,&NotExists;
0x226f,&NotGreater;
0x2271,&NotGreaterEqual;
0x2267,&NotGreaterFullEqual;
0x226b,&NotGreaterGreater;
0x2279,&NotGreaterLess;
0x2a7e,&NotGreaterSlantEqual;
0x2275,&NotGreaterTilde;
0x224e,&NotHumpDownHump;
0x224f,&NotHumpEqual;
0x22ea,&NotLeftTriangle;
0x29cf,&NotLeftTriangleBar;
0x22ec,&NotLeftTriangleEqual;
0x226e,&NotLess;
0x2270,&NotLessEqual;
0x2278,&NotLessGreater;
0x226a,&NotLessLess;
0x2a7d,&NotLessSlantEqual;
0x2274,&NotLessTilde;
0x2aa2,&NotNestedGreaterGreater;
0x2aa1,&NotNestedLessLess;
0x2280,&NotPrecedes;
0x2aaf,&NotPrecedesEqual;
0x22e0,&NotPrecedesSlantEqual;
0x220c,&NotReverseElement;
0x22eb,&NotRightTriangle;
0x29d0,&NotRightTriangleBar;
