0x299b,Angles and Measured Angles
0x212b,ANGSTROM SIGN
0x1f42d,Animal Faces
0x1f400,Animal Symbols
0x2625,ANKH
0xfff9,ANNOTATION ANCHOR
0xfffa,ANNOTATION SEPARATOR
0x06d6,Annotation Signs
0x06d6,Annotation Signs
0xfffb,ANNOTATION TERMINATOR
0xfff9,Annotation
0x3190,Annotation
0x20e7,ANNUITY SYMBOL
0x00b7,ano teleia
0x1f41c,ANT
0x20d4,ANTICLOCKWISE ARROW ABOVE
0x2233,ANTICLOCKWISE CONTOUR INTEGRAL
0x2a11,ANTICLOCKWISE INTEGRATION
0x20da,ANTICLOCKWISE RING OVERLAY
0x2183,antisigma
0x0901,anunasika
0x0902,ANUSVARA
0x17c6,anusvara
0x0f7e,anusvara
0x230a,apl downstile
0x2336,APL Functional Symbols
0x2218,apl jot
0x00af,apl overbar
0x0027,apl quote
0x2223,apl stile
0x223c,apl tilde
0x2308,apl upstile
0x0027,APOSTROPHE
0x2019,apostrophe
0x055a,APOSTROPHE
0x02bc,APOSTROPHE
0x02ee,APOSTROPHE
0x02bc,apostrophe
0x0027,apostrophe-quote
0x2183,apostrophic c
0x009f,APPLICATION PROGRAM COMMAND
0x2061,APPLICATION
0x2250,APPROACHES THE LIMIT
0x2245,APPROXIMATELY EQUAL TO
0x2257,approximately equal to
0x2652,AQUARIUS
0x10a80,Arabian
0x10a60,Arabian
0x0600,Arabic
0x0621,Arabic Alphabet
0x0653,Arabic Combining Marks
0x060c,ARABIC COMMA
0xfb50,Arabic Contextual Form Glyphs
0xfe80,Arabic Contextual Form Glyphs
0x060d,ARABIC DATE SEPARATOR
0x066b,ARABIC DECIMAL SEPARATOR
0x08a0,Arabic Extended-A
0x0671,Arabic Extensions
0x06d4,ARABIC FULL STOP
0x064b,Arabic Harakat
0x0610,Arabic Honorifics
0x0640,arabic kashida
0x06d6,Arabic Koranic Annotation Signs
0x06c0,arabic letter hamzah on ha
0x06c0,ARABIC LETTER HEH WITH YEH ABOVE
0x061c,ARABIC LETTER MARK
0x0671,Arabic Letters
0x0750,Arabic Letters
0xfdfd,ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM
0xfbea,Arabic Ligatures
0x1ee00,Arabic Mathematical Alphabetic Symbols
0x066c,arabic phrase separator
0xfe70,Arabic Points
0xfb50,Arabic Presentation Forms-A
0xfe70,Arabic Presentation Forms-B
0x060c,Arabic Punctuation
0x061f,ARABIC QUESTION MARK
0x06d6,Arabic Qur'anic Annotation Signs
0x061b,ARABIC SEMICOLON
0xfbb2,Arabic Spacing Diacritics
0x0600,Arabic Subtending Marks
0x0750,Arabic Supplement
0x0640,ARABIC TATWEEL
0x066c,ARABIC THOUSANDS SEPARATOR
0x0660,Arabic-Indic Digits
0x06f0,Arabic-Indic Digits
0x10840,Aramaic
0x2312,ARC
0x2222,arc
0x22be,ARC
0x032b,ARCH BELOW
0x25dc,Arcs
0xac00,Area
0x3400,Area
0x2e80,Area
0xf900,Area
0x0000,Area
0xac00,Area
0xe000,Area
0x20000,Area
0x10000,Area
0xd800,Area
0x2000,Area
0xfff80,Area-A
0x10ff80,Area-B
0x20b3,argentinian former currency
0x2648,ARIES
0x055f,ARMENIAN ABBREVIATION MARK
0x0530,Armenian Alphabet
0x055a,ARMENIAN APOSTROPHE
0x055c,armenian batsaganchakan nshan
0x055d,armenian bowt
0x0531,Armenian Capital Letters
0x055d,ARMENIAN COMMA
0x055b,ARMENIAN EMPHASIS MARK
0x055c,ARMENIAN EXCLAMATION MARK
0x0589,ARMENIAN FULL STOP
0x055e,armenian hartsakan nshan
0x058a,ARMENIAN HYPHEN
